Wavelength,Red,Green,Blue
380,0.0123,-0.0118,0.009
381,0.0124,-0.0043,0.0172
382,0.0125,0.0032,0.0253
383,0.0127,0.0107,0.0334
384,0.0128,0.0182,0.0415
385,0.0129,0.0257,0.0496
386,0.0265,0.0334,0.0819
387,0.0402,0.0411,0.1142
388,0.0538,0.0488,0.1465
389,0.0674,0.0565,0.1787
390,0.0811,0.0642,0.211
391,0.0828,0.0646,0.2401
392,0.0844,0.065,0.2692
393,0.0861,0.0653,0.2982
394,0.0878,0.0657,0.3273
395,0.0895,0.066,0.3563
396,0.0896,0.0687,0.3774
397,0.0897,0.0713,0.3984
398,0.0899,0.0739,0.4194
399,0.09,0.0765,0.4404
400,0.0901,0.0791,0.4615
401,0.0889,0.0771,0.4847
402,0.0876,0.075,0.508
403,0.0864,0.073,0.5312
404,0.0852,0.0709,0.5545
405,0.084,0.0689,0.5777
406,0.0835,0.0705,0.5976
407,0.083,0.0721,0.6174
408,0.0826,0.0737,0.6372
409,0.0821,0.0753,0.6571
410,0.0816,0.0769,0.6769
411,0.079,0.0777,0.6843
412,0.0764,0.0785,0.6917
413,0.0738,0.0793,0.6992
414,0.0712,0.0802,0.7066
415,0.0686,0.081,0.714
416,0.0676,0.0796,0.7239
417,0.0665,0.0783,0.7338
418,0.0655,0.077,0.7437
419,0.0644,0.0756,0.7536
420,0.0634,0.0743,0.7635
421,0.0609,0.0713,0.7772
422,0.0584,0.0682,0.791
423,0.0559,0.0652,0.8047
424,0.0534,0.0621,0.8185
425,0.0509,0.0591,0.8322
426,0.0505,0.0584,0.8395
427,0.05,0.0577,0.8467
428,0.0496,0.057,0.854
429,0.0492,0.0562,0.8612
430,0.0487,0.0555,0.8684
431,0.0474,0.0578,0.8664
432,0.046,0.06,0.8643
433,0.0446,0.0622,0.8623
434,0.0432,0.0644,0.8603
435,0.0418,0.0666,0.8582
436,0.041,0.0675,0.8712
437,0.0402,0.0683,0.8841
438,0.0393,0.0692,0.8971
439,0.0385,0.07,0.91
440,0.0377,0.0709,0.923
441,0.0385,0.0735,0.936
442,0.0393,0.0761,0.9491
443,0.0401,0.0787,0.9621
444,0.041,0.0812,0.9751
445,0.0418,0.0838,0.9882
446,0.0408,0.085,0.9877
447,0.0397,0.0861,0.9872
448,0.0387,0.0873,0.9868
449,0.0377,0.0884,0.9863
450,0.0367,0.0896,0.9858
451,0.0353,0.0875,0.9827
452,0.0338,0.0854,0.9795
453,0.0324,0.0833,0.9764
454,0.031,0.0812,0.9732
455,0.0296,0.0791,0.97
456,0.0304,0.08,0.9688
457,0.0312,0.0809,0.9675
458,0.032,0.0818,0.9662
459,0.0327,0.0827,0.9649
460,0.0335,0.0836,0.9636
461,0.0334,0.0933,0.9634
462,0.0332,0.1031,0.9632
463,0.033,0.1129,0.963
464,0.0329,0.1227,0.9627
465,0.0327,0.1324,0.9625
466,0.0339,0.1513,0.9599
467,0.0352,0.1701,0.9573
468,0.0364,0.1889,0.9547
469,0.0376,0.2078,0.9521
470,0.0388,0.2266,0.9495
471,0.0408,0.2601,0.9427
472,0.0429,0.2936,0.9358
473,0.0449,0.3271,0.929
474,0.0469,0.3606,0.9221
475,0.0489,0.3941,0.9153
476,0.0514,0.4376,0.9054
477,0.0539,0.4811,0.8955
478,0.0564,0.5246,0.8857
479,0.0589,0.5681,0.8758
480,0.0614,0.6117,0.866
481,0.0636,0.6446,0.8597
482,0.0658,0.6775,0.8534
483,0.0679,0.7105,0.8471
484,0.0701,0.7434,0.8408
485,0.0723,0.7763,0.8345
486,0.0734,0.7973,0.822
487,0.0744,0.8183,0.8096
488,0.0754,0.8393,0.7971
489,0.0764,0.8603,0.7846
490,0.0775,0.8813,0.7721
491,0.0782,0.8938,0.7566
492,0.079,0.9063,0.7412
493,0.0798,0.9188,0.7257
494,0.0805,0.9313,0.7103
495,0.0813,0.9438,0.6948
496,0.0824,0.9464,0.6763
497,0.0835,0.949,0.6577
498,0.0847,0.9516,0.6392
499,0.0858,0.9542,0.6207
500,0.0869,0.9568,0.6021
501,0.0892,0.9602,0.5864
502,0.0914,0.9635,0.5707
503,0.0937,0.9669,0.555
504,0.0959,0.9703,0.5393
505,0.0982,0.9737,0.5236
506,0.1007,0.978,0.509
507,0.1031,0.9823,0.4944
508,0.1056,0.9866,0.4798
509,0.108,0.9909,0.4652
510,0.1105,0.9951,0.4506
511,0.1127,0.9954,0.4379
512,0.1149,0.9958,0.4252
513,0.1171,0.9961,0.4125
514,0.1192,0.9964,0.3997
515,0.1214,0.9967,0.387
516,0.1243,0.9939,0.3727
517,0.1272,0.991,0.3583
518,0.1301,0.9882,0.344
519,0.133,0.9854,0.3296
520,0.1358,0.9826,0.3153
521,0.1421,0.9794,0.3079
522,0.1484,0.9762,0.3005
523,0.1547,0.973,0.2931
524,0.161,0.9698,0.2857
525,0.1673,0.9666,0.2784
526,0.169,0.9692,0.2718
527,0.1706,0.9718,0.2653
528,0.1723,0.9745,0.2587
529,0.174,0.9771,0.2522
530,0.1757,0.9797,0.2456
531,0.1729,0.9762,0.2418
532,0.1701,0.9727,0.2379
533,0.1673,0.9691,0.2341
534,0.1645,0.9656,0.2303
535,0.1617,0.9621,0.2265
536,0.1573,0.9585,0.2219
537,0.1529,0.955,0.2174
538,0.1485,0.9514,0.2129
539,0.1441,0.9479,0.2084
540,0.1397,0.9443,0.2039
541,0.1371,0.942,0.2017
542,0.1345,0.9397,0.1996
543,0.1319,0.9374,0.1974
544,0.1292,0.9351,0.1953
545,0.1266,0.9328,0.1931
546,0.1261,0.9282,0.1911
547,0.1257,0.9235,0.1891
548,0.1252,0.9189,0.1871
549,0.1248,0.9143,0.1851
550,0.1243,0.9096,0.1831
551,0.1242,0.9025,0.1787
552,0.1242,0.8954,0.1743
553,0.1241,0.8883,0.1699
554,0.1241,0.8812,0.1655
555,0.124,0.8741,0.1611
556,0.1248,0.8635,0.1571
557,0.1256,0.853,0.1532
558,0.1263,0.8425,0.1492
559,0.1271,0.8319,0.1453
560,0.1279,0.8214,0.1414
561,0.1287,0.8147,0.1399
562,0.1295,0.808,0.1384
563,0.1303,0.8014,0.1369
564,0.1311,0.7947,0.1354
565,0.1319,0.788,0.1339
566,0.1344,0.7794,0.1337
567,0.1369,0.7709,0.1335
568,0.1394,0.7623,0.1333
569,0.142,0.7537,0.1331
570,0.1445,0.7451,0.1329
571,0.1541,0.7371,0.131
572,0.1637,0.7292,0.1292
573,0.1734,0.7212,0.1274
574,0.183,0.7132,0.1255
575,0.1926,0.7052,0.1237
576,0.2395,0.6986,0.1249
577,0.2865,0.6919,0.1261
578,0.3334,0.6852,0.1274
579,0.3803,0.6786,0.1286
580,0.4272,0.6719,0.1298
581,0.4989,0.6624,0.1292
582,0.5706,0.653,0.1285
583,0.6423,0.6435,0.1278
584,0.714,0.634,0.1272
585,0.7856,0.6246,0.1265
586,0.8203,0.6168,0.1258
587,0.8549,0.609,0.125
588,0.8896,0.6012,0.1242
589,0.9242,0.5934,0.1234
590,0.9589,0.5856,0.1226
591,0.9671,0.5719,0.122
592,0.9753,0.5582,0.1213
593,0.9836,0.5445,0.1207
594,0.9918,0.5308,0.12
595,1,0.5171,0.1194
596,0.9984,0.5061,0.1162
597,0.9968,0.495,0.1131
598,0.9953,0.484,0.1099
599,0.9937,0.473,0.1068
600,0.9921,0.462,0.1036
601,0.9864,0.4479,0.1023
602,0.9807,0.4338,0.101
603,0.975,0.4197,0.0997
604,0.9693,0.4057,0.0983
605,0.9636,0.3916,0.097
606,0.9548,0.3784,0.0946
607,0.946,0.3652,0.0921
608,0.9372,0.3519,0.0897
609,0.9284,0.3387,0.0873
610,0.9195,0.3255,0.0848
611,0.913,0.3155,0.0832
612,0.9064,0.3054,0.0816
613,0.8998,0.2954,0.08
614,0.8933,0.2853,0.0783
615,0.8867,0.2753,0.0767
616,0.8802,0.2678,0.0766
617,0.8736,0.2603,0.0764
618,0.867,0.2528,0.0763
619,0.8605,0.2453,0.0762
620,0.8539,0.2378,0.076
621,0.8495,0.2323,0.0755
622,0.8451,0.2268,0.0749
623,0.8407,0.2213,0.0744
624,0.8363,0.2158,0.0739
625,0.8319,0.2103,0.0733
626,0.8314,0.2068,0.0742
627,0.8309,0.2032,0.0751
628,0.8303,0.1996,0.0759
629,0.8298,0.196,0.0768
630,0.8293,0.1925,0.0777
631,0.8192,0.19,0.0777
632,0.8091,0.1875,0.0777
633,0.7991,0.1851,0.0777
634,0.789,0.1826,0.0777
635,0.7789,0.1802,0.0777
636,0.7563,0.1742,0.0766
637,0.7338,0.1681,0.0756
638,0.7112,0.1621,0.0745
639,0.6886,0.1561,0.0734
640,0.6661,0.1501,0.0724
641,0.6402,0.1439,0.0702
642,0.6144,0.1377,0.068
643,0.5886,0.1314,0.0659
644,0.5627,0.1252,0.0637
645,0.5369,0.119,0.0615
646,0.5068,0.1122,0.0589
647,0.4767,0.1054,0.0562
648,0.4466,0.0985,0.0536
649,0.4166,0.0917,0.0509
650,0.3865,0.0849,0.0483
651,0.3581,0.0787,0.0456
652,0.3297,0.0724,0.043
653,0.3013,0.0661,0.0404
654,0.2729,0.0599,0.0377
655,0.2445,0.0536,0.0351
656,0.225,0.0496,0.0325
657,0.2055,0.0455,0.0299
658,0.186,0.0415,0.0273
659,0.1665,0.0375,0.0247
660,0.147,0.0335,0.0221
661,0.1349,0.0314,0.0205
662,0.1228,0.0293,0.0189
663,0.1107,0.0272,0.0173
664,0.0987,0.0251,0.0157
665,0.0866,0.023,0.0141
666,0.0795,0.0205,0.0135
667,0.0723,0.0179,0.013
668,0.0652,0.0154,0.0124
669,0.0581,0.0128,0.0119
670,0.0509,0.0103,0.0113
671,0.046,0.01,0.0104
672,0.041,0.0097,0.0095
673,0.0361,0.0094,0.0085
674,0.0311,0.0092,0.0076
675,0.0262,0.0089,0.0067
676,0.0243,0.0083,0.0065
677,0.0225,0.0078,0.0062
678,0.0207,0.0073,0.006
679,0.0188,0.0067,0.0057
680,0.017,0.0062,0.0055
681,0.0158,0.0058,0.0052
682,0.0145,0.0054,0.005
683,0.0133,0.0049,0.0048
684,0.0121,0.0045,0.0045
685,0.0108,0.0041,0.0043
686,0.0102,0.004,0.004
687,0.0096,0.0039,0.0038
688,0.0089,0.0038,0.0035
689,0.0083,0.0036,0.0033
690,0.0076,0.0035,0.003
691,0.0073,0.0033,0.0022
692,0.0069,0.0032,0.0014
693,0.0066,0.003,0.0007
694,0.0063,0.0028,-0.0001
695,0.0059,0.0026,-0.0009
696,0.0055,0.0026,-0.0001
697,0.0051,0.0026,0.0007
698,0.0048,0.0027,0.0015
699,0.0044,0.0027,0.0023
700,0.004,0.0027,0.0031
701,0.0039,0.0026,0.0032
702,0.0038,0.0025,0.0033
703,0.0038,0.0024,0.0035
704,0.0037,0.0023,0.0036
705,0.0036,0.0022,0.0037
706,0.0034,0.0022,0.0039
707,0.0031,0.0022,0.0041
708,0.0029,0.0022,0.0043
709,0.0026,0.0022,0.0045
710,0.0024,0.0022,0.0047
711,0.0026,0.002,0.0043
712,0.0029,0.0018,0.0038
713,0.0031,0.0017,0.0034
714,0.0034,0.0015,0.003
715,0.0036,0.0013,0.0025
716,0.0033,0.0014,0.0016
717,0.0031,0.0015,0.0007
718,0.0028,0.0016,-0.0003
719,0.0026,0.0016,-0.0012
720,0.0023,0.0017,-0.0021
721,0.0025,0.0013,-0.0015
722,0.0027,0.001,-0.0009
723,0.0028,0.0006,-0.0003
724,0.003,0.0002,0.0003
725,0.0031,-0.0002,0.0009
726,0.0027,-0.0001,0.0011
727,0.0022,0.0001,0.0013
728,0.0018,0.0002,0.0014
729,0.0013,0.0004,0.0016
730,0.0009,0.0005,0.0018
731,0.0008,0.0005,0.0017
732,0.0008,0.0004,0.0017
733,0.0008,0.0003,0.0016
734,0.0007,0.0003,0.0016
735,0.0007,0.0002,0.0015
736,0.0008,0.0002,0.002
737,0.001,0.0002,0.0024
738,0.0011,0.0001,0.0029
739,0.0012,0.0001,0.0033
740,0.0014,0.0001,0.0038
741,0.0015,0,0.0038
742,0.0017,-0.0001,0.0038
743,0.0018,-0.0003,0.0038
744,0.002,-0.0004,0.0038
745,0.0022,-0.0005,0.0038
746,0.0017,-0.0002,0.0022
747,0.0013,0.0001,0.0007
748,0.0009,0.0004,-0.0009
749,0.0004,0.0007,-0.0024
750,0,0.001,-0.0039
751,0.0002,0.0009,-0.0031
752,0.0004,0.0009,-0.0023
753,0.0006,0.0008,-0.0015
754,0.0009,0.0007,-0.0007
755,0.0011,0.0006,0.0001
756,0.0009,0.0005,0.0006
757,0.0007,0.0003,0.0011
758,0.0005,0.0002,0.0016
759,0.0004,0,0.0021
760,0.0002,-0.0001,0.0026
761,0.0002,-0.0002,0.0028
762,0.0002,-0.0003,0.0029
763,0.0001,-0.0004,0.0031
764,0.0001,-0.0005,0.0032
765,0.0001,-0.0006,0.0034
766,0.0001,-0.0004,0.0033
767,0,-0.0002,0.0033
768,0,0.0001,0.0033
769,-0.0001,0.0003,0.0033
770,-0.0001,0.0005,0.0033
771,-0.0003,0.0004,0.0024
772,-0.0004,0.0003,0.0014
773,-0.0005,0.0002,0.0005
774,-0.0007,0,-0.0005
775,-0.0008,-0.0001,-0.0015
776,-0.0007,-0.0004,-0.0002
777,-0.0006,-0.0007,0.001
778,-0.0005,-0.0011,0.0022
779,-0.0003,-0.0014,0.0035
780,-0.0002,-0.0017,0.0047
781,0.0001,-0.0013,0.0039
782,0.0004,-0.0008,0.0032
783,0.0007,-0.0004,0.0024
784,0.001,0.0001,0.0017
785,0.0013,0.0005,0.0009
786,0.0012,0.0003,0.0016
787,0.001,0.0001,0.0023
788,0.0009,0,0.0029
789,0.0007,-0.0002,0.0036
790,0.0006,-0.0004,0.0043
791,0.0006,-0.0004,0.0034
792,0.0006,-0.0003,0.0025
793,0.0007,-0.0003,0.0017
794,0.0007,-0.0002,0.0008
795,0.0007,-0.0001,-0.0001
796,0.0008,-0.0003,0.0006
797,0.0009,-0.0004,0.0012
798,0.001,-0.0006,0.0018
799,0.0011,-0.0007,0.0024
800,0.0013,-0.0009,0.003
